p_zendar|Քաղաք Զէնդար
p_town_1|Քաղաք Սարգոթ
p_town_2|Քաղաք Տիհր
p_town_3|Քաղաք Վելուկայ
p_town_4|Քաղաք Սունօ
p_town_5|Քաղաք Յելկալայ
p_town_6|Քաղաք Փրավէն
p_town_7|Քաղաք Ուքսհալ
p_town_8|Քաղաք Ռէյվադին
p_town_9|Քաղաք Խուդան
p_town_10|Քաղաք Տուլգայ
p_town_11|Քաղաք Քուրաւ
p_town_12|Քաղաք Վերչեգ
p_town_13|Քաղաք Ռիվաչեգ
p_town_14|Քաղաք Հալմար
p_town_15|Քաղաք Յալէն
p_town_16|Քաղաք Դհիրիմ
p_town_17|Քաղաք Իչամուր
p_town_18|Քաղաք Նառռայ
p_town_19|Քաղաք Շարիզ
p_town_20|Քաղաք Դուրկուբայ
p_town_21|Քաղաք Ահմեռռադ
p_town_22|Քաղաք Բարիյյէ
p_castle_1|Ամրոց Քուլմառռ
p_castle_2|Ամրոց Մալայուրգ
p_castle_3|Ամրոց Բուլուղայ
p_castle_4|Ամրոց Ռադոգիր
p_castle_5|Ամրոց Թեհլռոգ
p_castle_6|Ամրոց Թիլբաութ
p_castle_7|Ամրոց Սունգետչէ
p_castle_8|Ամրոց Յեյրբէ
p_castle_9|Ամրոց Յամիչէ
p_castle_10|Ամրոց Ալբուրկ
p_castle_11|Ամրոց Քուրին
p_castle_12|Ամրոց Չալբեկ
p_castle_13|Ամրոց Քելրեդան
p_castle_14|Ամրոց Մարաս
p_castle_15|Ամրոց Էրգելլոն
p_castle_16|Ամրոց Ալմեռռայ
p_castle_17|Ամրոց Դիստար
p_castle_18|Ամրոց Իսմիրալայ
p_castle_19|Ամրոց Իրումայ
p_castle_20|Ամրոց Դերչիոս
p_castle_21|Ամրոց Իբդելէս
p_castle_22|Ամրոց Ունուզդակ
p_castle_23|Ամրոց Թեվարին
p_castle_24|Ամրոց Ռեինդի
p_castle_25|Ամրոց Ռիբելէթ
p_castle_26|Ամրոց Սենուզգդայ
p_castle_27|Ամրոց Ռինդյար
p_castle_28|Ամրոց Գրունուալդեր
p_castle_29|Ամրոց Նելագ
p_castle_30|Ամրոց Ասուգան
p_castle_31|Ամրոց Վյինկուրդ
p_castle_32|Ամրոց Քնուդառռ
p_castle_33|Ամրոց Էտրոսկ
p_castle_34|Ամրոց Հռուս
p_castle_35|Ամրոց Հարինգոթ
p_castle_36|Ամրոց Յելբեգի
p_castle_37|Ամրոց Դրամուգ
p_castle_38|Ամրոց Տուլբուկ
p_castle_39|Ամրոց Սլեզխ
p_castle_40|Ամրոց Ուհհուն
p_castle_41|Ամրոց Յամեյյէդ
p_castle_42|Ամրոց Տերամմայ
p_castle_43|Ամրոց Շարուայ
p_castle_44|Ամրոց Դուրռին
p_castle_45|Ամրոց Չարաֆ
p_castle_46|Ամրոց Վեյյահ
p_castle_47|Ամրոց Սամառռայ
p_castle_48|Ամրոց Բարդակ
p_village_1|Գեւղ Յարագար
p_village_2|Գեւղ Բուրգլէն
p_village_3|Գեւղ Ազգադ
p_village_4|Գեւղ Նոմար
p_village_5|Գեւղ Քուլում
p_village_6|Գեւղ Էմիրին
p_village_7|Գեւղ Ամերէ
p_village_8|Գեւղ Հաէն
p_village_9|Գեւղ Բուվրան
p_village_10|Գեւղ Մեչին
p_village_11|Գեւղ Դուստուրիլ
p_village_12|Գեւղ Էմեր
p_village_13|Գեւղ Նեմեյայ
p_village_14|Գեւղ Սումբույայ
p_village_15|Գեւղ Ռիբելէթ
p_village_16|Գեւղ Շապեշտէ
p_village_17|Գեւղ Մազէն
p_village_18|Գեւղ Ուլբուրբան
p_village_19|Գեւղ Հանուն
p_village_20|Գեւղ Ուսլում
p_village_21|Գեւղ Բազեկ
p_village_22|Գեւղ Շուլուս
p_village_23|Գեւղ Իլվիայ
p_village_24|Գեւղ Ռուլդի
p_village_25|Գեւղ Դաշբիղայ
p_village_26|Գեւղ Պագունդուր
p_village_27|Գեւղ Գլունմար
p_village_28|Գեւղ Տաշ Քուլուն
p_village_29|Գեւղ Բուիլլին
p_village_30|Գեւղ Ռուվար
p_village_31|Գեւղ Ամբեան
p_village_32|Գեւղ Տոսդհար
p_village_33|Գեւղ Ռուլունս
p_village_34|Գեւղ Էհլերդահ
p_village_35|Գեւղ Ֆեարիչէն
p_village_36|Գեւղ Յայեկ
p_village_37|Գեւղ Ադայ Քուլուն
p_village_38|Գեւղ Իբիրան
p_village_39|Գեւղ Ռեվերան
p_village_40|Գեւղ Սարէն
p_village_41|Գեւղ Դուգան
p_village_42|Գեւղ Դիրիղ Աբան
p_village_43|Գեւղ Զագուշ
p_village_44|Գեւղ Պեշմի
p_village_45|Գեւղ Բուլուգուր
p_village_46|Գեւղ Ֆեդներ
p_village_47|Գեւղ Էպեշէ
p_village_48|Գեւղ Վեյդար
p_village_49|Գեւղ Տիսմիռռ
p_village_50|Գեւղ Կարինդի
p_village_51|Գեւղ Յելբեգի
p_village_52|Գեւղ Ամաշկէ
p_village_53|Գեւղ Բալանլի
p_village_54|Գեւղ Չիդէ
p_village_55|Գեւղ Տադսամեշ
p_village_56|Գեւղ Ֆենադայ
p_village_57|Գեւղ Ուշկուրու
p_village_58|Գեւղ Վեզին
p_village_59|Գեւղ Դումար
p_village_60|Գեւղ Տահլբերլ
p_village_61|Գեւղ Ալդելէն
p_village_62|Գեւղ Ռեբաչէ
p_village_63|Գեւղ Ռդունայ
p_village_64|Գեւղ Սերինդիար
p_village_65|Գեւղ Իյինդահ
p_village_66|Գեւղ Ֆիսդնար
p_village_67|Գեւղ Տեբանդրայ
p_village_68|Գեւղ Իբդելէս
p_village_69|Գեւղ Քուինն
p_village_70|Գեւղ Դիրիգսենէ
p_village_71|Գեւղ Տշիբտին
p_village_72|Գեւղ Էլբերլ
p_village_73|Գեւղ Չաէզայ
p_village_74|Գեւղ Այյիկէ
p_village_75|Գեւղ Բհուլաբան
p_village_76|Գեւղ Քեդելկէ
p_village_77|Գեւղ Ռիզի
p_village_78|Գեւղ Սարիմիշ
p_village_79|Գեւղ Իստինիար
p_village_80|Գեւղ Վայեյեգ
p_village_81|Գեւղ Օդասան
p_village_82|Գեւղ Յալիբէ
p_village_83|Գեւղ Գիսիմ
p_village_84|Գեւղ Չելէզ
p_village_85|Գեւղ Իսմիրալայ
p_village_86|Գեւղ Սլեզխ
p_village_87|Գեւղ Ուդինիադ
p_village_88|Գեւղ Տուլբուկ
p_village_89|Գեւղ Ուհհուն
p_village_90|Գեւղ Յամիչէ
p_village_91|Գեւղ Այն Ասսուադի
p_village_92|Գեւղ Դհիբբաին
p_village_93|Գեւղ Քալյուտ
p_village_94|Գեւղ Մազիղ
p_village_95|Գեւղ Տամնուհ
p_village_96|Գեւղ Հաբբայ
p_village_97|Գեւղ Սեքթեմ
p_village_98|Գեւղ Մաուիթի
p_village_99|Գեւղ Ֆիսարայ
p_village_100|Գեւղ Իքբայլ
p_village_101|Գեւղ Ուզգայ
p_village_102|Գեւղ Շիբալ Զումր
p_village_103|Գեւղ Միջայէթ
p_village_104|Գեւղ Տազջունաթ
p_village_105|Գեւղ Աաբ
p_village_106|Գեւղ Հաուահայ
p_village_107|Գեւղ Ունրիայ
p_village_108|Գեւղ Միթ Նուն
p_village_109|Գեւղ Թիլիմսալ
p_village_110|Գեւղ Ռուսդիհ
p_salt_mine|Աղահանք
p_four_ways_inn|Պանդոկ Քառուղւոյ
p_test_scene|փորձնական վայր
p_battlefields|ռազմադաշտք
p_dhorak_keep|Ամրոց Դհորակ
p_training_ground|Վարժարան
p_training_ground_1|Վարժարան
p_training_ground_2|Վարժարան
p_training_ground_3|Վարժարան
p_training_ground_4|Վարժարան
p_training_ground_5|Վարժարան
p_steppe_bandit_spawn_point|տափաստանքն
p_taiga_bandit_spawn_point|սառնադաշտքն
p_forest_bandit_spawn_point|անտառքն
p_mountain_bandit_spawn_point|բարձրաւանդակքն
p_sea_raider_spawn_point_1|ափունքն
p_sea_raider_spawn_point_2|ափունքն
p_desert_bandit_spawn_point|անապատքն
